assister_name,team,position,assists
Lamine Yamal,Spain,Forward,4
Arda Güler,Turkiye,Midfielder,2
Dennis Man,Romania,Forward,2
Kylian Mbappé,France,Forward,2
Xavi Simons,Netherlands,Forward,2
Michel Aebischer,Switzerland,Midfielder,2
Joshua Kimmich,Germany,Defender,2
Dani Olmo,Spain,Forward,2
Fabián Ruiz,Spain,Midfielder,2
Nathan Aké,Netherlands,Defender,2
Juraj Kucka,Slovakia,Midfielder,2
Remo Freuler,Switzerland,Midfielder,2
Alexander Prass,Austria,Midfielder,2
Ante Budimir,Croatia,Midfielder,2
Memphis Depay,Netherlands,Forward,1
