scorer_name,team,position,goals
Georges Mikautadze,Georgia,Forward,3
Jamal Musiala,Germany,Midfielder,3
Cody Gakpo,Netherlands,Forward,3
Dani Olmo,Spain,Forward,3
Ivan Schranz,Slovakia,Forward,3
Harry Kane,England,Forward,3
Breel Embolo,Switzerland,Forward,2
Donyell Malen,Netherlands,Forward,2
Razvan Marin,Romania,Midfielder,2
Florian Wirtz,Germany,Midfielder,2
Nico Williams,Spain,Forward,2
Jude Bellingham,England,Midfielder,2
Niclas Füllkrug,Germany,Forward,2
Kai Havertz,Germany,Midfielder,2
Fabián Ruiz,Spain,Midfielder,2
Merih Demiral,Turkiye,Defender,2
Kylian Mbappé,France,Forward,1
Marko Arnautovic,Austria,Forward,1
Robert Lewandowski,Poland,Forward,1
Mikel Oyarzabal,Spain,Forward,1
Memphis Depay,Netherlands,Forward,1
Dan Ndoye,Switzerland,Forward,1
Ruben Vargas,Switzerland,Midfielder,1
Dani Carvajal,Spain,Defender,1
Žan Karni?nik,Slovenia,Defender,1
Mert Müldür,Turkiye,Defender,1
Christoph Baumgartner,Austria,Midfielder,1
Bruno Fernandes,Portugal,Midfielder,1
Marcel Sabitzer,Austria,Midfielder,1
Hakan Çalhano?lu,Turkiye,Midfielder,1
Kevin De Bruyne,Belgium,Midfielder,1
Christian Eriksen,Denmark,Midfielder,1
Ollie Watkins,England,Forward,1
Mattia Zaccagni,Italy,Forward,1
Kwadwo Duah,Switzerland,Forward,1
Nedim Bajrami,Albania,Midfielder,1
Tomáš Sou?ek,Czechia,Midfielder,1
Roman Yaremchuk,Ukraine,Forward,1
Andrej Kramari?,Croatia,Forward,1
Kevin Csoboth,Hungary,Forward,1
Cenk Tosun,Turkiye,Forward,1
Krzysztof Pi?tek,Poland,Forward,1
Xavi Simons,Netherlands,Forward,1
Muhammed Kerem Aktürko?lu,Turkiye,Forward,1
Michel Aebischer,Switzerland,Midfielder,1
Nicolò Barella,Italy,Midfielder,1
Nicolae Stanciu,Romania,Midfielder,1
Emre Can,Germany,Defender,1
Morten Hjulmand,Denmark,Midfielder,1
Lukáš Provod,Czechia,Midfielder,1
Youri Tielemans,Belgium,Midfielder,1
Álvaro Morata,Spain,Forward,1
Rodrigo Hernández,Spain,Midfielder,1
Wout Weghorst,Netherlands,Forward,1
Ferran Torres,Spain,Forward,1
Remo Freuler,Switzerland,Midfielder,1
?lkay Gündo?an,Germany,Midfielder,1
Francisco Conceição,Portugal,Forward,1
Khvicha Kvaratskhelia,Georgia,Forward,1
Denis Dr?gu?,Romania,Forward,1
Bernardo Silva,Portugal,Midfielder,1
Michael Gregoritsch,Austria,Forward,1
Luka Modri?,Croatia,Midfielder,1
Scott McTominay,Scotland,Midfielder,1
Mykola Shaparenko,Ukraine,Midfielder,1
Klaus Gjasula,Albania,Midfielder,1
Lamine Yamal,Spain,Forward,1
Bukayo Saka,England,Forward,1
Arda Güler,Turkiye,Midfielder,1
Cole Palmer,England,Midfielder,1
Erik Janža,Slovenia,Defender,1
Xherdan Shaqiri,Switzerland,Midfielder,1
Mikel Merino,Spain,Midfielder,1
Stefan De Vrij,Netherlands,Defender,1
Randal Kolo Muani,France,Forward,1
Samet Akaydin,Turkiye,Defender,1
Romano Schmid,Austria,Midfielder,1
Alessandro Bastoni,Italy,Defender,1
Ondrej Duda,Slovakia,Midfielder,1
Barnabás Varga,Hungary,Forward,1
Luka Jovi?,Serbia,Forward,1
Qazim Laçi,Albania,Midfielder,1
Adam Buksa,Poland,Forward,1
Gernot Trauner,Austria,Defender,1
Patrik Schick,Czechia,Forward,1
